id,species,decimalLatitude,decimalLongitude,sp,label,altitude,t2m_media,precip_acumulada,dias_geada,dias_calor,evapotranspiracao,uso_solo,ndvi_media,ndvi_min
CANOLA_0001,Brassica napus,7.119929,-73.077348,1,presenca,,,,0,0,,,,
CANOLA_0002,Brassica napus,38.33,-5.83,1,presenca,,,,0,0,,,,
CANOLA_0003,Brassica napus,38.10993,13.381778,1,presenca,,,,0,0,,,,
CANOLA_0004,Brassica napus,39.995818,-76.374908,1,presenca,,,,0,0,,,,
CANOLA_0005,Brassica napus,30.937928,-85.237313,1,presenca,,,,0,0,,,,
CANOLA_0006,Brassica napus,39.025445,-76.931945,1,presenca,,,,0,0,,,,
CANOLA_0007,Brassica napus,-33.386356,18.912454,1,presenca,,,,0,0,,,,
CANOLA_0008,Brassica napus,-33.803048,-71.246933,1,presenca,,,,0,0,,,,
CANOLA_0009,Brassica napus,38.716,-6.98,1,presenca,,,,0,0,,,,
CANOLA_0010,Brassica napus,36.001736,-88.999746,1,presenca,,,,0,0,,,,
CANOLA_0011,Brassica napus,-3.881101,-38.530561,1,presenca,,,,0,0,,,,
CANOLA_0012,Brassica napus,36.343845,-89.497481,1,presenca,,,,0,0,,,,
CANOLA_0013,Brassica napus,39.661056,-0.671657,1,presenca,,,,0,0,,,,
CANOLA_0014,Brassica napus,39.827759,-0.261138,1,presenca,,,,0,0,,,,
CANOLA_0015,Brassica napus,38.123226,-79.0498,1,presenca,,,,0,0,,,,
CANOLA_0016,Brassica napus,38.954673,-3.946075,1,presenca,,,,0,0,,,,
CANOLA_0017,Brassica napus,39.890484,-4.173292,1,presenca,,,,0,0,,,,
CANOLA_0018,Brassica napus,-36.622645,-72.140543,1,presenca,,,,0,0,,,,
CANOLA_0019,Brassica napus,39.964394,-3.394033,1,presenca,,,,0,0,,,,
CANOLA_0020,Brassica napus,36.690036,-6.124175,1,presenca,,,,0,0,,,,
CANOLA_0021,Brassica napus,-36.621313,-72.110767,1,presenca,,,,0,0,,,,
CANOLA_0022,Brassica napus,39.820442,-4.060185,1,presenca,,,,0,0,,,,
CANOLA_0023,Brassica napus,38.533661,-9.012159,1,presenca,,,,0,0,,,,
CANOLA_0024,Brassica napus,-38.389217,-72.389655,1,presenca,,,,0,0,,,,
CANOLA_0025,Brassica napus,38.735243,16.193972,1,presenca,,,,0,0,,,,
CANOLA_0026,Brassica napus,30.607016,-86.895879,1,presenca,,,,0,0,,,,
CANOLA_0027,Brassica napus,39.983762,-8.396179,1,presenca,,,,0,0,,,,
